#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.10000   0.30000    900.00   0.201777868463   0.189444053032   2.895467222601   0.595665329606      14    0.050099     0.26168       8    0.859666   19.995296
   0.10000   0.40000    900.00   0.200749402255   0.205134573910   2.762210035683   0.573674745251      12    0.058589     0.18887      10    1.094254   15.698284
   0.10000   0.50000    900.00   0.193081681669   0.229187813351   2.832876603034   0.530738900408      12    0.063769     0.25305       9    1.095297   15.701854
   0.10000   0.60000    900.00   0.191453315438   0.242889952726   2.724905129413   0.518323103230      12    0.055383     0.18046      11    1.394616   19.997235
   0.10000   0.70000    900.00   0.187711033133   0.259448351341   2.712680471067   0.491684783717      12    0.075167     0.20376      11    1.395608   19.997122
   0.10000   0.80000    900.00   0.187369023811   0.270563262639   2.626055924935   0.479031331129      11    0.062605     0.11109      12    1.776928   19.984901
   0.10000   0.90000    900.00   0.186801424303   0.281429614939   2.552915665041   0.463318499683      11    0.072288     0.21666      12    1.777329   19.985746
   0.10000   1.00000    900.00   0.182469965855   0.298407180302   2.547247085062   0.443379355448      10     0.06749     0.14005      12    2.263017   19.994651
   0.10000   0.10000   1000.00   0.211900678330   0.138232781788   2.881911075367   0.706980020598      16      0.1466     0.34619      11    0.529385   19.996216
   0.10000   0.20000   1000.00   0.206398172607   0.166701782470   2.767856593268   0.649849935440      15    0.089143     0.23521       7    0.674453   19.994723
   0.10000   0.30000   1000.00   0.201275862685   0.190761783730   2.723902245853   0.606183573773      14    0.084207     0.22737       8    0.859631   19.994398
   0.10000   0.40000   1000.00   0.195102701321   0.213951415182   2.722055711601   0.569409718183      13    0.098211     0.21341      13    1.094607   19.999724
   0.10000   0.50000   1000.00   0.185860752680   0.240428201383   2.817442544683   0.526247793431      12    0.079002     0.18885      13    1.394022   19.998471
   0.10000   0.60000   1000.00   0.181831351855   0.258121391027   2.774500006487   0.505356837415      12    0.082748     0.23491      14    1.394683   19.998916
   0.10000   0.70000   1000.00   0.174876063000   0.280170677179   2.852906095473   0.467526140320      11    0.076128     0.18152      14    1.776161   19.985840
   0.10000   0.80000   1000.00   0.169060005468   0.299718993019   2.881348409147   0.442226233599      11    0.065912     0.13636      15    1.777180   19.998309
   0.10000   0.90000   1000.00   0.166925439638   0.313654557341   2.799768131437   0.433455777032      11    0.091437     0.23612      11    1.778034   19.984126
   0.10000   1.00000   1000.00   0.152935074770   0.346496190701   3.163233445893   0.354597908455      10    0.066465     0.15725      15    2.263132   19.988224
