#Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.10   879.11    16.00     2.00     3.070000     3.400000    3.960000        0
   1     0.10   879.11    16.00     5.00     3.670000     4.140000    4.970000        0
   1     0.10   879.11    16.00    10.00     4.430000     5.100000    6.340000        0
   1     0.10   879.11    16.00    20.00     5.690000     6.700000    8.690000        0
   1     0.10   879.11    20.00     0.10     2.480000     2.650000    2.910000        0
   1     0.10   879.11    20.00     0.20     2.560000     2.740000    3.020000        0
   1     0.10   879.11    20.00     0.50     2.730000     2.930000    3.250000        0
   1     0.10   879.11    20.00     1.00     2.910000     3.140000    3.510000        0
   1     0.10   879.11    20.00     2.00     3.190000     3.460000    3.910000        0
   1     0.10   879.11    20.00     5.00     3.770000     4.140000    4.790000        0
   1     0.10   879.11    20.00    10.00     4.520000     5.030000    5.950000        0
   1     0.10   879.11    20.00    20.00     5.750000     6.510000    7.920000        0
   1     0.10  1563.31     1.00     0.10     1.040000   142.032407  305.348036        1
   1     0.10  1563.31     1.00     0.20     1.100000   152.547349  335.250669        1
   1     0.10  1563.31     1.00     0.50     1.220000   174.336755  399.076939        1
   1     0.10  1563.31     1.00     1.00     1.380000   204.964604  492.518492        1
   1     0.10  1563.31     1.00     2.00     1.580000   245.781158  622.723778        1
   1     0.10  1563.31     1.00     5.00     2.030000   347.903611  970.136763        1
   1     0.10  1563.31     1.00    10.00     2.610000   500.534540 1529.124037        1
   1     0.10  1563.31     1.00    20.00     3.680000     9.741553   38.178690        1
   1     0.10  1563.31     2.00     0.10     1.300000     4.113108  287.303153        1
   1     0.10  1563.31     2.00     0.20     1.380000     8.008831  315.259246        1
   1     0.10  1563.31     2.00     0.50     1.570000     9.051110  386.429907        1
   1     0.10  1563.31     2.00     1.00     1.780000   233.705380  472.910835        1
   1     0.10  1563.31     2.00     2.00     2.040000   277.167374  591.356688        1
   1     0.10  1563.31     2.00     5.00     2.580000   375.029823  877.569651        1
   1     0.10  1563.31     2.00    10.00     3.250000   510.705112 1308.144709        1
   1     0.10  1563.31     2.00    20.00     4.430000     9.093534   29.993807        1
   1     0.10  1563.31     3.00     0.10     1.470000     3.017163  281.089303        1
   1     0.10  1563.31     3.00     0.20     1.580000     3.886666  312.907926        1
   1     0.10  1563.31     3.00     0.50     1.780000     4.548111  374.607223        1
   1     0.10  1563.31     3.00     1.00     2.010000     8.203102  451.698410        1
   1     0.10  1563.31     3.00     2.00     2.300000    10.992454  558.257863        1
   1     0.10  1563.31     3.00     5.00     2.970000   400.390057  844.359127        1
   1     0.10  1563.31     3.00    10.00     3.810000   551.143683 1281.760673        1
   1     0.10  1563.31     3.00    20.00     5.180000     9.606664   28.848802        1
   1     0.10  1563.31     4.00     0.10     1.630000     2.795285   23.173211        1
   1     0.10  1563.31     4.00     0.20     1.740000     3.265380  314.902671        1
   1     0.10  1563.31     4.00     0.50     1.930000     3.759108  366.354591        1
   1     0.10  1563.31     4.00     1.00     2.150000     5.148806  430.128351        1
   1     0.10  1563.31     4.00     2.00     2.460000     6.479323  527.637800        1
   1     0.10  1563.31     4.00     5.00     3.180000    16.571308  788.624973        1
   1     0.10  1563.31     4.00    10.00     4.110000   108.034599 1197.148106        1
   1     0.10  1563.31     4.00    20.00     5.660000     9.781076   27.182367        1
   1     0.10  1563.31     5.00     0.10     1.740000     2.690499    8.096588        1
   1     0.10  1563.31     5.00     0.20     1.840000     2.997160   11.510273        1
   1     0.10  1563.31     5.00     0.50     2.040000     3.441708   23.676231        1
   1     0.10  1563.31     5.00     1.00     2.260000     4.301864  416.163689        1
   1     0.10  1563.31     5.00     2.00     2.560000     5.235102  500.000461        1
   1     0.10  1563.31     5.00     5.00     3.290000     9.527991  731.997648        1
   1     0.10  1563.31     5.00    10.00     4.250000    19.256148 1097.494250        1
   1     0.10  1563.31     5.00    20.00     5.890000     9.612121   24.852837        1
   1     0.10  1563.31     6.00     0.10     1.840000     2.660000    5.820000        0
   1     0.10  1563.31     6.00     0.20     1.930000     2.880831    7.007348        1
   1     0.10  1563.31     6.00     0.50     2.120000     3.266498    9.987125        1
   1     0.10  1563.31     6.00     1.00     2.340000     3.902922   18.951593        1
   1     0.10  1563.31     6.00     2.00     2.650000     4.690986  113.675346        1
   1     0.10  1563.31     6.00     5.00     3.370000     7.477120  689.362166        1
   1     0.10  1563.31     6.00    10.00     4.330000    12.488750 1014.708302        1
   1     0.10  1563.31     6.00    20.00     5.980000     9.318996   22.564934        1
